code,category,date,time_start,time_end,location
122,汽車竊盜,105-02-20,18,20,台北市北投區建民里文林北路80巷3弄(口)
123,汽車竊盜,105-02-22,02,04,台北市中正區河堤里金門街34巷(對面)
124,汽車竊盜,105-02-24,02,04,台北市士林區德華里文林路740巷
125,汽車竊盜,105-02-25,06,08,台北市大同區雙連里錦西街52巷
126,汽車竊盜,105-02-28,14,16,台北市北投區泉源里東昇路38~16號
127,汽車竊盜,105-03-01,12,14,台北市大同區雙連里錦西街52巷1~30號
128,汽車竊盜,105-03-01,12,14,台北市文山區樟林里014鄰辛亥路7段(路邊)
129,汽車竊盜,105-03-04,02,04,台北市南港區新富里研究院路1段101巷1~30號
130,汽車竊盜,105-03-07,10,12,台北市萬華區大理路160巷19弄1~30號
131,汽車竊盜,105-03-11,18,20,台北市北投區稻香路121~150號
132,汽車竊盜,105-03-12,00,02,台北市內湖區新明路122~1號
133,汽車竊盜,105-03-12,00,02,台北市內湖區新明路122~1號
134,汽車竊盜,105-03-14,02,04,台北市萬華區桂林路244巷61~90號
135,汽車竊盜,105-03-14,02,04,台北市萬華區桂林路244巷61~90號
136,汽車竊盜,105-03-18,18,20,台北市松山區濱江路361~390號
137,汽車竊盜,105-03-19,14,16,台北市大同區老師里重慶北路3段(民族西路)
138,汽車竊盜,105-03-25,04,06,台北市萬華區環河南路3段61~90號
139,汽車竊盜,105-03-31,12,14,台北市萬華區桂林路246巷31~60號
140,汽車竊盜,105-04-19,14,16,台北市內湖區民權東路6段136巷31~60號
141,汽車竊盜,105-04-19,14,16,台北市內湖區民權東路6段136巷31~60號
142,汽車竊盜,105-04-21,06,08,台北市士林區永倫里延平北路6段301~330號
143,汽車竊盜,105-04-21,14,16,台北市士林區富洲里延平北路9段211~240號
144,汽車竊盜,105-04-27,12,14,台北市萬華區雁鴨河濱公園
145,汽車竊盜,105-04-27,22,24,台北市萬華區桂林路底雁鴨公園內
146,汽車竊盜,105-04-28,06,08,台北市內湖區江南街71巷65弄1~30號
147,汽車竊盜,105-04-29,16,18,台北市中山區劍南路上
148,汽車竊盜,105-05-01,08,10,台北市北投區立農里吉利街127巷1~30號
149,汽車竊盜,105-05-08,10,12,台北市中山區民生東路2段147巷6弄1~30號
150,汽車竊盜,105-05-21,02,04,台北市北投區八仙里大度路1~30號
151,汽車竊盜,105-05-21,18,20,台北市中山區民族東路512巷13弄1~30號
152,汽車竊盜,105-05-26,02,04,台北市萬華區西藏路211~240號
153,汽車竊盜,105-06-13,10,12,台北市萬華區華江雁鴨河濱公園
154,汽車竊盜,105-06-27,02,04,台北市萬華區雁鴨河濱公園
155,汽車竊盜,105-06-27,20,22,台北市松山區富錦街77巷2弄
156,汽車竊盜,105-06-30,12,14,台北市士林區天母里15鄰天玉街81巷1~30號
157,汽車竊盜,105-07-06,18,20,台北市士林區福安里延平北路7段1~30號
158,汽車竊盜,105-07-13,06,08,台北市北投區智仁里中和街391~420號
159,汽車竊盜,105-07-15,14,16,台北市北投區一德里中央北路4段515巷31~60號
160,汽車竊盜,105-07-16,08,10,台北市文山區萬祥里景隆街1巷(口)
161,汽車竊盜,105-07-22,08,10,台北市信義區六合里松仁路228巷1~30號
162,汽車竊盜,105-07-28,00,02,台北市萬華區柳鄉里3鄰桂林路246巷
163,汽車竊盜,105-07-29,16,18,台北市內湖區東湖路121~150號
164,汽車竊盜,105-07-31,06,08,台北市北投區八仙里大度路151~180號
