code,category,date,time_start,time_end,location,lat,lng
113,自行車竊盜,2015-04-21,10,12,臺北市大安區基隆路3段156巷(台大校園自行車停車場),25.0159585,121.5424917
114,自行車竊盜,2015-04-21,16,18,臺北市文山區景東里景華街104巷(口),24.9957732,121.5467652
115,自行車竊盜,2015-04-26,04,06,臺北市大同區雙連里重慶北路(歸綏街),25.0582125,121.513712
116,自行車竊盜,2015-04-27,14,16,臺北市大安區龍門里建國南路2段241~270號,25.0254926,121.5379898
117,自行車竊盜,2015-04-27,14,16,臺北市南港區聯成里忠孝東路6段301~330號,25.0499589,121.5910753
118,自行車竊盜,2015-04-28,10,12,臺北市信義區永吉路331~360號,25.0456986,121.575805
119,自行車竊盜,2015-05-01,02,04,臺北市大安區德安里四維路76巷,25.0342586,121.5471068
120,自行車竊盜,2015-05-01,16,18,臺北市大安區福住里新生南路2段31~60號,25.0305591,121.5338566
121,自行車竊盜,2015-05-01,16,18,臺北市大同區北門站,25.049285,121.510278
122,自行車竊盜,2015-05-01,22,24,臺北市信義區六合里信義路5段150巷271~300號,25.0275394,121.5689667
123,自行車竊盜,2015-05-03,12,14,臺北市松山區撫遠街391~420號,25.0651222,121.5657775
124,自行車竊盜,2015-05-03,16,18,臺北市中正區新營里捷運古亭站七號,25.0265508,121.5228141
125,自行車竊盜,2015-05-03,20,22,臺北市中正區黎明里市民大道,25.0485113,121.5175771
126,自行車竊盜,2015-05-07,18,20,臺北市文山區樟文里忠順街1段1~30號,24.9834355,121.5549737
127,自行車竊盜,2015-05-07,22,24,臺北市文山區樟樹里木新路3段151~180號,24.9817228,121.5613393
128,自行車竊盜,2015-05-09,14,16,臺北市士林區蘭雅里德行東路109巷61~90號,25.109478,121.5284188
129,自行車竊盜,2015-05-09,20,22,臺北市中正區臺大醫院捷運站2號,25.0417873,121.5160523
130,自行車竊盜,2015-05-10,12,14,臺北市士林區義信里中山北路5段61~90號,25.0836168,121.5255946
131,自行車竊盜,2015-05-10,14,16,臺北市信義區松友里信義路6段72巷2弄31~60號,25.035014,121.5768185
132,自行車竊盜,2015-05-10,22,24,臺北市萬華區青年路106巷1~30號,25.0226568,121.5022132
133,自行車竊盜,2015-05-11,06,08,臺北市文山區興邦里興隆路2段181~210號,25.0007968,121.5492409
134,自行車竊盜,2015-05-13,12,14,臺北市萬華區貴陽街151~180號,25.0402787,121.5009376
135,自行車竊盜,2015-05-16,22,24,臺北市大安區龍門里新生南路2段1~30號,25.0310609,121.535552
136,自行車竊盜,2015-05-17,16,18,臺北市中正區文祥里金山南路1段101巷1~30號,25.0335191,121.5273677
137,自行車竊盜,2015-05-17,16,18,臺北市大同區大龍街1~30號,25.063164,121.5160433
138,自行車竊盜,2015-05-18,16,18,臺北市信義區安康里松德路(興雅國中校門口左側),25.035644,121.5722586
139,自行車竊盜,2015-05-19,18,20,臺北市士林區義信里中山北路5段61~90號,25.0836168,121.5255946
140,自行車竊盜,2015-05-20,08,10,臺北市大安區龍圖里信義路3段181~210號,25.0332971,121.5424362
141,自行車竊盜,2015-05-21,12,14,臺北市中正區中正紀念堂,25.0346119,121.521781
142,自行車竊盜,2015-05-26,08,10,臺北市中山區撫順公園,25.0644457,121.5220051
143,自行車竊盜,2015-05-27,16,18,臺北市內湖區港墘里內湖路1段629巷31~60號,25.080287,121.5738534
144,自行車竊盜,2015-05-28,14,16,臺北市士林區中山北路5段61~90號,25.0836168,121.5255946
145,自行車竊盜,2015-05-29,00,02,臺北市中正區黎明里武昌街一段1~30號,25.044007,121.512365
146,自行車竊盜,2015-05-29,04,06,臺北市文山區萬興里指南路2段1~30號,24.9877071,121.5749392
147,自行車竊盜,2015-05-29,06,08,臺北市文山區木柵里木柵路3段85巷14弄1~30號,24.989619,121.567001
148,自行車竊盜,2015-05-30,10,12,臺北市松山區民生東路5段36巷6弄1~30號,25.0577413,121.5598146
149,自行車竊盜,2015-05-30,16,18,臺北市北投區吉利里致遠二路61~90號,25.1124156,121.5149198
150,自行車竊盜,2015-06-01,00,02,臺北市大同區建泰里南京西路18巷1~30號,25.0506782,121.5200726
151,自行車竊盜,2015-06-01,04,06,臺北市大安區芳和里樂業街94巷1~30號,25.021187,121.5512354
152,自行車竊盜,2015-06-02,14,16,臺北市北投區泉源里東昇路91~120號,25.15627,121.529227
153,自行車竊盜,2015-06-03,10,12,臺北市大安區學府里16鄰羅斯福路4段1~30號,25.0157601,121.5329959
154,自行車竊盜,2015-06-04,06,08,臺北市北投區立農里立農街1段279巷2弄1~30號,25.1193883,121.5060407
155,自行車竊盜,2015-06-04,14,16,臺北市信義區廣居里忠孝東路5段451~480號,25.0411038,121.5762524
156,自行車竊盜,2015-06-04,22,24,臺北市中正區幸福里忠孝東路1段84巷,25.0455047,121.521878
157,自行車竊盜,2015-06-05,04,06,臺北市大安區光明里杭州南路2段9巷1~30號,25.0343643,121.5239852
158,自行車竊盜,2015-06-06,02,04,臺北市大安區錦安里7鄰金山南路2段185巷1~30號,25.028454,121.526888
159,自行車竊盜,2015-06-07,12,14,臺北市北投區關渡里知行路301~330號,25.1220973,121.4671994
160,自行車竊盜,2015-06-09,00,02,臺北市士林區社園里延平北路6段151~180號,25.0892786,121.507508
161,自行車竊盜,2015-06-09,06,08,臺北市內湖區康樂街136巷29弄31~60號,25.072837,121.617992
162,自行車竊盜,2015-06-09,16,18,臺北市信義區松智路(與松廉路口),25.0340054,121.5654243
163,自行車竊盜,2015-06-09,20,22,臺北市文山區明義里木柵路2段61~90號,24.9888665,121.5605126
164,自行車竊盜,2015-06-10,02,04,臺北市北投區福興里自強街31巷31~60號,25.1112364,121.5124629
165,自行車竊盜,2015-06-10,02,04,臺北市北投區福興里自強街31巷31~60號,25.1112364,121.5124629
166,自行車竊盜,2015-06-13,00,02,臺北市南港區九如里研究院路2段211~240號,25.0364568,121.6173835
167,自行車竊盜,2015-06-13,04,06,臺北市松山區南京東路5段291巷47弄,25.0536492,121.5669175
168,自行車竊盜,2015-06-13,12,14,臺北市中山區新生北路3段31~60號,25.0646869,121.5280576
169,自行車竊盜,2015-06-13,12,14,臺北市中山區新生北路3段31~60號,25.0646869,121.5280576
170,自行車竊盜,2015-06-13,14,16,臺北市北投區榮華里東華街1段48巷1~30號,25.1087888,121.520117
171,自行車竊盜,2015-06-13,16,18,臺北市中正區東門里信義路1段1~30號,25.033623,121.5439372
172,自行車竊盜,2015-06-14,00,02,臺北市文山區景東里景華街82巷1~30號,24.9950752,121.5453899
173,自行車竊盜,2015-06-15,16,18,臺北市大安區敦安里6鄰仁愛路4段121~150號,25.037354,121.552164
174,自行車竊盜,2015-06-16,22,24,臺北市大安區龍泉里師大路1~30號,25.026164,121.5285658
175,自行車竊盜,2015-06-19,04,06,臺北市內湖區民權東路6段296巷31~60號,25.072064,121.6063903
176,自行車竊盜,2015-06-19,04,06,臺北市中山區松江路301~330號,25.0611915,121.5334002
177,自行車竊盜,2015-06-22,08,10,臺北市南港區合成里忠孝東路6段1~30號,25.045631,121.5827353
178,自行車竊盜,2015-06-23,04,06,臺北市大同區環河北路2段1~30號,25.0641035,121.5088539
179,自行車竊盜,2015-06-23,08,10,臺北市南港區昆陽捷運站腳踏車停車場,25.050735,121.594485
180,自行車竊盜,2015-06-23,08,10,臺北市大安區和平東路3段181~210號,25.023958,121.55333
181,自行車竊盜,2015-06-23,08,10,臺北市南港區合成里(昆陽捷運站旁停車場),25.050735,121.594485
182,自行車竊盜,2015-06-25,06,08,臺北市信義區興雅里永吉路30巷121~150號,25.0429464,121.5688672
183,自行車竊盜,2015-06-25,14,16,臺北市信義區興雅里松高路1~30號,25.039745,121.5642046
184,自行車竊盜,2015-06-29,20,22,臺北市北投區吉利里西安街1段(石牌國中側門旁人行道~竊腳踏車),25.1158345,121.5135413
185,自行車竊盜,2015-06-30,14,16,臺北市大同區玉泉里鄭州路121~150號,25.0503611,121.5109208
186,自行車竊盜,2015-07-01,00,02,臺北市中正區文盛里羅斯福路4段1~30號,25.0166195,121.5348052
187,自行車竊盜,2015-07-01,20,22,臺北市松山區南京東路5段(三民路捷運三民南京站),25.051429,121.563858
188,自行車竊盜,2015-07-02,18,20,臺北市中正區三愛里信義路2段241~270號,25.0333821,121.5323392
189,自行車竊盜,2015-07-02,18,20,臺北市文山區樟文里辛亥路7段69巷1~30號,24.9826284,121.5542226
190,自行車竊盜,2015-07-03,20,22,臺北市信義區興雅里忠孝東路5段1~30號,25.0414099,121.5650519
191,自行車竊盜,2015-07-04,14,16,臺北市中山區天祥路1~30號,25.0605808,121.521107
192,自行車竊盜,2015-07-05,10,12,臺北市大安區學府里羅斯福路4段1~30號,25.0173405,121.5397518
193,自行車竊盜,2015-07-05,16,18,臺北市信義區永春里忠孝東路5段(後山埤捷運站1號,25.0411245,121.5766852
194,自行車竊盜,2015-07-06,14,16,臺北市中山區中山北路2段91~120號,25.059308,121.523262
195,自行車竊盜,2015-07-07,12,14,臺北市大安區新龍里建國南路2段121~150號,25.029612,121.53832
196,自行車竊盜,2015-07-07,16,18,臺北市萬華區中華路2段504巷1~30號,25.0250933,121.5076596
197,自行車竊盜,2015-07-08,12,14,臺北市文山區萬隆里萬隆街61~90號,25.0004769,121.5366
198,自行車竊盜,2015-07-10,10,12,臺北市松山區光復北路61~90號,25.0485892,121.5576731
199,自行車竊盜,2015-07-12,14,16,臺北市北投區文林里文林北路241~270號,25.1088476,121.5129882
200,自行車竊盜,2015-07-12,18,20,臺北市北投區文林里文林北路241~270號,25.1088476,121.5129882
201,自行車竊盜,2015-07-13,10,12,臺北市松山區新東街60巷1~30號,25.0620789,121.5652586
202,自行車竊盜,2015-07-14,12,14,臺北市北投區中央里大興街24巷6弄1~30號,25.1290223,121.4987736
203,自行車竊盜,2015-07-14,18,20,臺北市中山區劍南路捷運站自行車停放處,25.084863,121.5555961
204,自行車竊盜,2015-07-14,22,24,臺北市北投區石牌里自強街120巷15弄(口),25.1109124,121.514577
205,自行車竊盜,2015-07-15,16,18,臺北市大同區國慶里民族西路252(大同公園)巷,25.0678862,121.5121462
206,自行車竊盜,2015-07-16,16,18,臺北市文山區興泰里15鄰辛亥路4段130巷,25.0050621,121.5564872
207,自行車竊盜,2015-07-18,18,20,臺北市南港區中南里忠孝東路7段361~390號,25.0518609,121.6045075
208,自行車竊盜,2015-07-20,22,24,臺北市中山區建國南路1段1~30號,25.0456651,121.5369734
