code,category,date,time_start,time_end,location
148,自行車竊盜,2015-05-30,10,12,臺北市松山區民生東路5段36巷6弄1~30號
149,自行車竊盜,2015-05-30,16,18,臺北市北投區吉利里致遠二路61~90號
150,自行車竊盜,2015-06-01,00,02,臺北市大同區建泰里南京西路18巷1~30號
151,自行車竊盜,2015-06-01,04,06,臺北市大安區芳和里樂業街94巷1~30號
152,自行車竊盜,2015-06-02,14,16,臺北市北投區泉源里東昇路91~120號
153,自行車竊盜,2015-06-03,10,12,臺北市大安區學府里16鄰羅斯福路4段1~30號
154,自行車竊盜,2015-06-04,06,08,臺北市北投區立農里立農街1段279巷2弄1~30號
155,自行車竊盜,2015-06-04,14,16,臺北市信義區廣居里忠孝東路5段451~480號
156,自行車竊盜,2015-06-04,22,24,臺北市中正區幸福里忠孝東路1段84巷
157,自行車竊盜,2015-06-05,04,06,臺北市大安區光明里杭州南路2段9巷1~30號
158,自行車竊盜,2015-06-06,02,04,臺北市大安區錦安里7鄰金山南路2段185巷1~30號
159,自行車竊盜,2015-06-07,12,14,臺北市北投區關渡里知行路301~330號
160,自行車竊盜,2015-06-09,00,02,臺北市士林區社園里延平北路6段151~180號
161,自行車竊盜,2015-06-09,06,08,臺北市內湖區康樂街136巷29弄31~60號
162,自行車竊盜,2015-06-09,16,18,臺北市信義區松智路(與松廉路口)
163,自行車竊盜,2015-06-09,20,22,臺北市文山區明義里木柵路2段61~90號
164,自行車竊盜,2015-06-10,02,04,臺北市北投區福興里自強街31巷31~60號
165,自行車竊盜,2015-06-10,02,04,臺北市北投區福興里自強街31巷31~60號
166,自行車竊盜,2015-06-13,00,02,臺北市南港區九如里研究院路2段211~240號
167,自行車竊盜,2015-06-13,04,06,臺北市松山區南京東路5段291巷47弄
168,自行車竊盜,2015-06-13,12,14,臺北市中山區新生北路3段31~60號
169,自行車竊盜,2015-06-13,12,14,臺北市中山區新生北路3段31~60號
170,自行車竊盜,2015-06-13,14,16,臺北市北投區榮華里東華街1段48巷1~30號
171,自行車竊盜,2015-06-13,16,18,臺北市中正區東門里信義路1段1~30號
172,自行車竊盜,2015-06-14,00,02,臺北市文山區景東里景華街82巷1~30號
173,自行車竊盜,2015-06-15,16,18,臺北市大安區敦安里6鄰仁愛路4段121~150號
174,自行車竊盜,2015-06-16,22,24,臺北市大安區龍泉里師大路1~30號
175,自行車竊盜,2015-06-19,04,06,臺北市內湖區民權東路6段296巷31~60號
176,自行車竊盜,2015-06-19,04,06,臺北市中山區松江路301~330號
177,自行車竊盜,2015-06-22,08,10,臺北市南港區合成里忠孝東路6段1~30號
178,自行車竊盜,2015-06-23,04,06,臺北市大同區環河北路2段1~30號
179,自行車竊盜,2015-06-23,08,10,臺北市南港區昆陽捷運站腳踏車停車場
180,自行車竊盜,2015-06-23,08,10,臺北市大安區和平東路3段181~210號
181,自行車竊盜,2015-06-23,08,10,臺北市南港區合成里(昆陽捷運站旁停車場)
182,自行車竊盜,2015-06-25,06,08,臺北市信義區興雅里永吉路30巷121~150號
183,自行車竊盜,2015-06-25,14,16,臺北市信義區興雅里松高路1~30號
184,自行車竊盜,2015-06-29,20,22,臺北市北投區吉利里西安街1段(石牌國中側門旁人行道~竊腳踏車)
185,自行車竊盜,2015-06-30,14,16,臺北市大同區玉泉里鄭州路121~150號
186,自行車竊盜,2015-07-01,00,02,臺北市中正區文盛里羅斯福路4段1~30號
187,自行車竊盜,2015-07-01,20,22,臺北市松山區南京東路5段(三民路捷運三民南京站)
188,自行車竊盜,2015-07-02,18,20,臺北市中正區三愛里信義路2段241~270號
189,自行車竊盜,2015-07-02,18,20,臺北市文山區樟文里辛亥路7段69巷1~30號
190,自行車竊盜,2015-07-03,20,22,臺北市信義區興雅里忠孝東路5段1~30號
191,自行車竊盜,2015-07-04,14,16,臺北市中山區天祥路1~30號
192,自行車竊盜,2015-07-05,10,12,臺北市大安區學府里羅斯福路4段1~30號
193,自行車竊盜,2015-07-05,16,18,臺北市信義區永春里忠孝東路5段(後山埤捷運站1號
194,自行車竊盜,2015-07-06,14,16,臺北市中山區中山北路2段91~120號
195,自行車竊盜,2015-07-07,12,14,臺北市大安區新龍里建國南路2段121~150號
196,自行車竊盜,2015-07-07,16,18,臺北市萬華區中華路2段504巷1~30號
197,自行車竊盜,2015-07-08,12,14,臺北市文山區萬隆里萬隆街61~90號
198,自行車竊盜,2015-07-10,10,12,臺北市松山區光復北路61~90號
199,自行車竊盜,2015-07-12,14,16,臺北市北投區文林里文林北路241~270號
200,自行車竊盜,2015-07-12,18,20,臺北市北投區文林里文林北路241~270號
201,自行車竊盜,2015-07-13,10,12,臺北市松山區新東街60巷1~30號
202,自行車竊盜,2015-07-14,12,14,臺北市北投區中央里大興街24巷6弄1~30號
203,自行車竊盜,2015-07-14,18,20,臺北市中山區劍南路捷運站自行車停放處
204,自行車竊盜,2015-07-14,22,24,臺北市北投區石牌里自強街120巷15弄(口)
205,自行車竊盜,2015-07-15,16,18,臺北市大同區國慶里民族西路252(大同公園)巷
206,自行車竊盜,2015-07-16,16,18,臺北市文山區興泰里15鄰辛亥路4段130巷
207,自行車竊盜,2015-07-18,18,20,臺北市南港區中南里忠孝東路7段361~390號
208,自行車竊盜,2015-07-20,22,24,臺北市中山區建國南路1段1~30號
209,自行車竊盜,2015-07-22,10,12,臺北市北投區永明里立農街2段331~360號
210,自行車竊盜,2015-07-26,12,14,臺北市中正區新營里羅斯福路1段1~30號
211,自行車竊盜,2015-07-27,08,10,臺北市南港區成福里成福路241~270號
212,自行車竊盜,2015-07-27,20,22,臺北市大安區古莊里浦城街1~30號
213,自行車竊盜,2015-07-28,18,20,臺北市士林區義信里中山北路5段61~90號
214,自行車竊盜,2015-08-01,12,14,臺北市文山區興福里13鄰興隆路2段22巷8弄1~30號
215,自行車竊盜,2015-08-02,10,12,臺北市中山區民族東路181~210號
216,自行車竊盜,2015-08-03,00,02,臺北市信義區長春里虎林街82巷1~30號
217,自行車竊盜,2015-08-03,14,16,臺北市文山區景華里三福街1~30號
218,自行車竊盜,2015-08-04,06,08,臺北市北投區榮光里西安街1段(石牌捷運站2號
219,自行車竊盜,2015-08-05,20,22,臺北市內湖區內湖路1段387巷3弄1~30號
220,自行車竊盜,2015-08-06,02,04,臺北市信義區景勤里吳興街156巷31~60號
221,自行車竊盜,2015-08-06,20,22,臺北市萬華區民和街31~60號
222,自行車竊盜,2015-08-07,18,20,臺北市北投區大同里光明路1~30號
223,自行車竊盜,2015-08-09,20,22,臺北市士林區福德里福德路1~30號
224,自行車竊盜,2015-08-10,12,14,臺北市南港區三重里三重路1~30號
225,自行車竊盜,2015-08-10,14,16,臺北市北投區大同里光明路1~30號
226,自行車竊盜,2015-08-10,20,22,臺北市北投區石牌里明德路91~120號
227,自行車竊盜,2015-08-14,00,02,臺北市南港區三重里(南港展覽館捷運站5號
228,自行車竊盜,2015-08-14,10,12,臺北市信義區永春里中坡北路15巷(口)
229,自行車竊盜,2015-08-15,00,02,臺北市士林區文林路91~120號
230,自行車竊盜,2015-08-15,10,12,臺北市北投區承德路7段(洲美橋下)
231,自行車竊盜,2015-08-16,00,02,臺北市信義區興隆里忠孝東路4段(國館捷運3號
232,自行車竊盜,2015-08-16,12,14,臺北市大安區建倫里忠孝東路4段121~150號
233,自行車竊盜,2015-08-17,20,22,臺北市南港區新光里忠孝東路6段451~480號
234,自行車竊盜,2015-08-17,20,22,臺北市士林區天玉里中山北路7段51巷1~30號
235,自行車竊盜,2015-08-19,14,16,臺北市大安區信義路與敦化路(口)
236,自行車竊盜,2015-08-20,02,04,臺北市中正區黎明里館前路1~30號
237,自行車竊盜,2015-08-21,08,10,臺北市大同區光能里赤峰街41巷1~30號
238,自行車竊盜,2015-08-21,08,10,臺北市大同區光能里赤峰街41巷1~30號
239,自行車竊盜,2015-08-21,14,16,臺北市大安區義安里信義路4段181~210號
240,自行車竊盜,2015-08-23,10,12,臺北市中正區黎明里忠孝西路1段31~60號
241,自行車竊盜,2015-08-24,00,02,臺北市信義區興雅里忠孝東路5段(市府捷運站YOUBIKE自行車停放區)
242,自行車竊盜,2015-08-26,18,20,臺北市大安區芳和里5鄰和平東路3段151~180號
243,自行車竊盜,2015-08-28,18,20,臺北市內湖區康樂街76巷1~30號
244,自行車竊盜,2015-08-30,08,10,臺北市士林區福德里中正路435巷1~30號
245,自行車竊盜,2015-08-30,16,18,臺北市大安區住安里復興南路2段1~30號
246,自行車竊盜,2015-08-30,18,20,臺北市北投區石牌里明德路91~120號
247,自行車竊盜,2015-08-31,10,12,臺北市南港區合成里忠孝東路6段403巷(口)
248,自行車竊盜,2015-09-01,16,18,臺北市士林區承德里基河路1~30號
249,自行車竊盜,2015-09-02,00,02,臺北市大安區古風里雲和街61~90號
250,自行車竊盜,2015-09-03,06,08,臺北市信義區新仁里忠孝東路4段(光復南路口國館4號
251,自行車竊盜,2015-09-04,14,16,臺北市文山區興泰里辛亥路4段(辛亥捷運站自行車停車格)
252,自行車竊盜,2015-09-06,20,22,臺北市大同區玉泉里捷運北門站2號
253,自行車竊盜,2015-09-07,16,18,臺北市北投區光明路1~30號
254,自行車竊盜,2015-09-07,18,20,臺北市大安區學府里辛亥路與羅斯福路口
255,自行車竊盜,2015-09-08,06,08,臺北市士林區舊佳里中正路211~240號
256,自行車竊盜,2015-09-09,16,18,臺北市北投區石牌里西安街1段(明德捷運站旁人行道)
257,自行車竊盜,2015-09-10,06,08,臺北市士林區義信里中山北路5段61~90號
258,自行車竊盜,2015-09-10,12,14,臺北市內湖區民權東路6段136巷31~60號
259,自行車竊盜,2015-09-11,06,08,臺北市士林區德行里福國路61~90號
260,自行車竊盜,2015-09-12,12,14,臺北市士林區義信里中山北路5段61~90號
261,自行車竊盜,2015-09-12,22,24,臺北市大同區老師里延平北路4段181~210號
262,自行車竊盜,2015-09-13,08,10,臺北市中正區黎明里北平西路3段((臺北火車站外東北角行人道))
263,自行車竊盜,2015-09-13,20,22,臺北市中正區黎明里常德街1~30號
264,自行車竊盜,2015-09-14,06,08,臺北市內湖區成功路2段321巷
265,自行車竊盜,2015-09-14,18,20,臺北市大同區華陰街24巷6弄
266,自行車竊盜,2015-09-14,18,20,臺北市中山區華陰街24巷6弄
267,自行車竊盜,2015-09-15,00,02,臺北市松山區民生東路5段137巷口
268,自行車竊盜,2015-09-15,00,02,臺北市大安區瑞安街208巷1~30號
269,自行車竊盜,2015-09-15,02,04,臺北市中正區新營里羅斯福路1段83巷1~30號
270,自行車竊盜,2015-09-15,04,06,臺北市中正區文祥里杭州南路1段101巷1~30號
271,自行車竊盜,2015-09-15,06,08,臺北市中山區建國北路2段91~120號
272,自行車竊盜,2015-09-15,20,22,臺北市中正區幸福里忠孝東路1段58巷(善導寺捷運站3號
273,自行車竊盜,2015-09-15,20,22,臺北市大安區復興南路1段361~390號
274,自行車竊盜,2015-09-17,04,06,臺北市信義區基隆路1段121~150號
275,自行車竊盜,2015-09-17,16,18,臺北市萬華區西寧南路61~90號
276,自行車竊盜,2015-09-18,06,08,臺北市大安區羅斯福路2段15巷
277,自行車竊盜,2015-09-19,18,20,臺北市大同區鄭州路121~150號
278,自行車竊盜,2015-09-19,18,20,臺北市士林區葫東里重慶北路4段220巷1~30號
279,自行車竊盜,2015-09-19,22,24,臺北市中正區建國里(中山南路與愛國西路口)
280,自行車竊盜,2015-09-21,16,18,臺北市文山區萬年里羅斯福路5段170巷(公館街口)
281,自行車竊盜,2015-09-23,08,10,臺北市士林區社園里延平北路6段151~180號
282,自行車竊盜,2015-09-23,16,18,臺北市中正區南門里廣州街8巷(口)
283,自行車竊盜,2015-09-24,06,08,臺北市大同區至聖里承德路3段225巷1~30號
284,自行車竊盜,2015-09-24,08,10,臺北市大同區至聖里承德路3段225巷1~30號
285,自行車竊盜,2015-09-26,22,24,臺北市松山區市民大道6段(腳踏車停放區)
286,自行車竊盜,2015-09-29,08,10,臺北市中山區南京東路3段與龍江路口
287,自行車竊盜,2015-10-01,10,12,臺北市大安區學府里羅斯福路4段1~30號
288,自行車竊盜,2015-10-01,16,18,臺北市士林區中山北路忠誠路口
289,自行車竊盜,2015-10-01,22,24,臺北市中山區圓山捷運站自行車停車場
290,自行車竊盜,2015-10-02,08,10,臺北市大安區羅斯福路2段31~60號
291,自行車竊盜,2015-10-02,22,24,臺北市內湖區港墘路127巷1~30號
292,自行車竊盜,2015-10-04,02,04,臺北市大安區杭州南路2段93巷31~60號
293,自行車竊盜,2015-10-04,18,20,臺北市萬華區漢口街2段61~90號
294,自行車竊盜,2015-10-05,18,20,臺北市大同區光能里南京西路25巷1~30號
295,自行車竊盜,2015-10-05,18,20,臺北市中山區南京西路25巷1~30號
296,自行車竊盜,2015-10-06,16,18,臺北市大同區玉泉里忠孝西路(塔城街)
297,自行車竊盜,2015-10-07,16,18,臺北市南港區舊莊里舊莊街1段1~30號
298,自行車竊盜,2015-10-07,20,22,臺北市大同區玉泉里鄭州路121~150號
299,自行車竊盜,2015-10-08,18,20,臺北市中正區頂東里羅斯福路3段91~120號
300,自行車竊盜,2015-10-10,06,08,臺北市中正區富水里思源街1~30號
301,自行車竊盜,2015-10-10,10,12,臺北市萬華區永福街31~60號
302,自行車竊盜,2015-10-10,10,12,臺北市南港區中南里忠孝東路7段571~600號
